"Assets (Million $)"
"Current Assets","2.971,25"
"Short-/Medium-Term","805,00"
"Cash Reserves","0,00"
"T-Bill Securities","277,50"
"T-Bond Securities","277,50"
"Reverse Repurchase Agreements","250,00"
"Long-Term","2.166,25"
"Bank Loans Assets","360,00"
"Car Financing Loans","1.806,25"
"Fixed Assets","11,32"
"Other Assets","11,32"
"Sum Assets","2.982,57"
"Equity and Liabilities (Million $)"
"Liabilities","2.769,39"
"Short Term","1.282,12"
"Central bank Advance","752,12"
"Repurchase Agreements","530,00"
"Medium Term","1.487,27"
"Bank Loans Liabilities","403,00"
"Customer Savings","1.084,27"
"Equity","213,17"
"Shareholderïs Equity","85,00"
"Retained Earnings","90,33"
"Revaluation Reserves","37,84"
"Sum Equity and Liabilities","2.982,57"
