"Client Management"
"Value","Target","Actual"
"No. of Incidents/ Supp. Employees","","233,31 INCI/(yr*FTE)"
"Support Service Level Server","","100,00 %"
"Support Service Level Stor.&Com.","","100,00 %"
"Support Service Level Bus.Apps.","","100,00 %"
"Support Service Level Deskt.&Off.","","100,00 %"
"People Development"
"Value","Target","Actual"
"Skill Level IT Dev. Dev.Know.","","78,39 %"
"Skill Level IT Dev. Supp.Know.","","21,80 %"
"Skill Level IT Ser.+ Syst. SW Dev.Know.","","9,04 %"
"Skill Level IT Ser. + Syst. SW Supp.Know.","","82,90 %"
"Skill Level IT Infrastr. Dev.Know.","","11,87 %"
"Skill Level IT Infrastr. Supp.Know.","","79,70 %"
"Skill Level IT Bus. Appl. Dev.Know.","","10,90 %"
"Skill Level IT Bus. Appl. Supp.Know.","","86,10 %"
"Skill Level IT Desk.+ Off. Dev.Know.","","13,60 %"
"Skill Level IT Desk.+ Off. Supp.Know.","","91,30 %"
"Utilization IT Developers","","0,00 %"
"Utilization Emp. IT Server & Syst. SW","","53,46 %"
"Utilization Emp. IT Infrastr.","","9,36 %"
"Utilization Emp. IT Bus.Apps.","","94,48 %"
"Utilization Emp. IT Desk.& Off.","","81,66 %"
"Satisf. IT Developers","","60,89 %"
"Satisf. IT Serv.+ Syst. SW Employees","","64,89 %"
"Satisf. IT Comm.Infrastruct. Employees","","50,79 %"
"Satisf. IT Bus. Appl. Employees","","65,87 %"
"Satisf. IT Desk.+ Off. Employees","","72,31 %"
"Processes"
"Value","Target","Actual"
"Age of IT Server","","3,33 yr"
"Age of IT Storage","","4,73 yr"
"Age of IT Comm.Infrastructure","","4,83 yr"
"Age of IT System SW","","4,33 yr"
"Age of Bus.Apps. Marketing","","8,33 yr"
"Average Age of Desktops","","3,54 yr"
"Average Age of Office-SW","","5,30 yr"
"Variance Server Hardware","","8,00 yr^2"
"Variance of Comm. Infrastructure","","6,02 yr^2"
"Variance of System SW","","12,06 yr^2"
"Variance Bus.Apps. Marketing","","14,44 yr^2"
"Variance PCs Marketing","","10,80 yr^2"
"Variance Office SW Marketing","","11,14 yr^2"
"Utilization Server","","47,57 %"
"Utilization Comm. Infrastruct.","","34,44 %"
"Error Rate of IT Emp Support","","3,15 %"
"Quality of IT Processes Support","","96,85 %"
"Finance"
"Value","Target","Actual"
"IT Cost / Inc. Ratio","","21,12 %"
"IT Employees/Total Administration","","6,67 %"
"Ratio IT Mat. vs. Total Admin.","","13,50 %"
"Ratio Other / Total Admin.","","2,96 %"
"Client Management"
"Key Performance Indicators","Type","Status","Target","Actual","Unit","Tolerance"
"No. of Incidents/ Supp. Employees","","","0,00","233,31","INCI/(yr*FTE)",""
"Support Service Level Server","","","0,00","100,00","%",""
"Support Service Level Stor.&Com.","","","0,00","100,00","%",""
"Support Service Level Bus.Apps.","","","0,00","100,00","%",""
"Support Service Level Deskt.&Off.","","","0,00","100,00","%",""
"People Development"
"Key Performance Indicators","Type","Status","Target","Actual","Unit","Tolerance"
"Skill Level IT Dev. Dev.Know.","","","0,00","78,39","%",""
"Skill Level IT Dev. Supp.Know.","","","0,00","21,80","%",""
"Skill Level IT Ser.+ Syst. SW Dev.Know.","","","0,00","9,04","%",""
"Skill Level IT Ser. + Syst. SW Supp.Know.","","","0,00","82,90","%",""
"Skill Level IT Infrastr. Dev.Know.","","","0,00","11,87","%",""
"Skill Level IT Infrastr. Supp.Know.","","","0,00","79,70","%",""
"Skill Level IT Bus. Appl. Dev.Know.","","","0,00","10,90","%",""
"Skill Level IT Bus. Appl. Supp.Know.","","","0,00","86,10","%",""
"Skill Level IT Desk.+ Off. Dev.Know.","","","0,00","13,60","%",""
"Skill Level IT Desk.+ Off. Supp.Know.","","","0,00","91,30","%",""
"Utilization IT Developers","","","0,00","0,00","%",""
"Utilization Emp. IT Server & Syst. SW","","","0,00","53,46","%",""
"Utilization Emp. IT Infrastr.","","","0,00","9,36","%",""
"Utilization Emp. IT Bus.Apps.","","","0,00","94,48","%",""
"Utilization Emp. IT Desk.& Off.","","","0,00","81,66","%",""
"Satisf. IT Developers","","","0,00","60,89","%",""
"Satisf. IT Serv.+ Syst. SW Employees","","","0,00","64,89","%",""
"Satisf. IT Comm.Infrastruct. Employees","","","0,00","50,79","%",""
"Satisf. IT Bus. Appl. Employees","","","0,00","65,87","%",""
"Satisf. IT Desk.+ Off. Employees","","","0,00","72,31","%",""
"Processes"
"Key Performance Indicators","Type","Status","Target","Actual","Unit","Tolerance"
"Age of IT Server","","","0,00","3,33","yr",""
"Age of IT Storage","","","0,00","4,73","yr",""
"Age of IT Comm.Infrastructure","","","0,00","4,83","yr",""
"Age of IT System SW","","","0,00","4,33","yr",""
"Age of Bus.Apps. Marketing","","","0,00","8,33","yr",""
"Average Age of Desktops","","","0,00","3,54","yr",""
"Average Age of Office-SW","","","0,00","5,30","yr",""
"Variance Server Hardware","","","0,00","8,00","yr^2",""
"Variance of Comm. Infrastructure","","","0,00","6,02","yr^2",""
"Variance of System SW","","","0,00","12,06","yr^2",""
"Variance Bus.Apps. Marketing","","","0,00","14,44","yr^2",""
"Variance PCs Marketing","","","0,00","10,80","yr^2",""
"Variance Office SW Marketing","","","0,00","11,14","yr^2",""
"Utilization Server","","","0,00","47,57","%",""
"Utilization Comm. Infrastruct.","","","0,00","34,44","%",""
"Error Rate of IT Emp Support","","","0,00","3,15","%",""
"Quality of IT Processes Support","","","0,00","96,85","%",""
"Finance"
"Key Performance Indicators","Type","Status","Target","Actual","Unit","Tolerance"
"IT Cost / Inc. Ratio","","","0,00","21,12","%",""
"IT Employees/Total Administration","","","0,00","6,67","%",""
"Ratio IT Mat. vs. Total Admin.","","","0,00","13,50","%",""
"Ratio Other / Total Admin.","","","0,00","2,96","%",""
"Internal Employees IT"
"Value","Actual","+","-","Notes","Forecast"
"Employees IT  Development","11,84 FTE","","","Salary Employee per Year77.500,00 $/FTE","11,84 FTE"
"Employees IT  Supp. Serv. + OS + DB","13,83 FTE","","","Salary Employee per Year77.500,00 $/FTE","13,83 FTE"
"Employees IT  Supp. Comm. Infrastruct.","13,82 FTE","","","Salary Employee per Year77.500,00 $/FTE","13,82 FTE"
"Employees IT  Supp. Bus.Apps","37,53 FTE","","","Salary Employee per Year77.500,00 $/FTE","37,53 FTE"
"Employees IT  Supp. PCs + Office","21,73 FTE","","","Salary Employee per Year77.500,00 $/FTE","21,73 FTE"
"Central IT"
"Value","Actual","+","-","Notes","Forecast"
"Server Hardware","59.095,76 MIPS","","","Price Server per MIPS5,00 $","59.095,76 MIPS"
"Storage Hardware","46,90 TB","","","Price Storage per TB600,00 $","46,9 TB"
"Communication Infrastructure","8.742,15 TBmo","","","Price Comm. Infrastructure per TB/yr400,00 $","8.742,15 TBmo"
"System Software","89,00 LI","","","Price System Software per License600,00 $","89 LI"
"Decentral IT"
"Value","Actual","+","-","Notes","Forecast"
"PCs  Management","49,03 PC","","","Price per Desktop PC2.500,00 $","49,03 PC"
"PCs  Organization","73,26 PC","","","Price per Desktop PC2.500,00 $","73,26 PC"
"PCs  Entire IT Dept.","175,18 PC","","","Price per Desktop PC2.500,00 $","175,18 PC"
"PCs  Marketing","24,52 PC","","","Price per Desktop PC2.500,00 $","24,52 PC"
"PCs S&M Loans","97,69 PC","","","Price per Desktop PC2.500,00 $","97,69 PC"
"PCs Origination Loans","131,39 PC","","","Price per Desktop PC2.500,00 $","131,39 PC"
"PCs Servicing Loans","134,27 PC","","","Price per Desktop PC2.500,00 $","134,27 PC"
"PCs S&M Savings","161,52 PC","","","Price per Desktop PC2.500,00 $","161,52 PC"
"PCs Origination Savings","131,39 PC","","","Price per Desktop PC2.500,00 $","131,39 PC"
"PCs Servicing Savings","112,34 PC","","","Price per Desktop PC2.500,00 $","112,34 PC"
"Office Autom. Management","250,00 LI","","","Price per Office Automation License300,00 $","250 LI"
"Office Autom. Organization","375,00 LI","","","Price per Office Automation License300,00 $","375 LI"
"Office Autom. Entire IT Dept.","1.000,00 LI","","","Price per Office Automation License300,00 $","1.000 LI"
"Office Autom. Marketing","125,00 LI","","","Price per Office Automation License300,00 $","125 LI"
"Office Autom. S&M Loans","500,00 LI","","","Price per Office Automation License300,00 $","500 LI"
"Office Autom. Orig. Loans","675,00 LI","","","Price per Office Automation License300,00 $","675 LI"
"Office Autom. Serv. Loans","690,00 LI","","","Price per Office Automation License300,00 $","690 LI"
"Office Autom. S&M Savings","780,00 LI","","","Price per Office Automation License300,00 $","780 LI"
"Office Autom. Orig. Savings","675,00 LI","","","Price per Office Automation License300,00 $","675 LI"
