"Client Management"
"Value","Target","Actual"
"Customer Satisfaction","","83,32 %"
"Market Share - New Loans Volume","","4,75 %"
"Market Share - New Sav. Volume","","1,96 %"
"People Development"
"Value","Target","Actual"
"Satisf. of Marketing Employees","","79,60 %"
"Utilization Marketing Employees","","63,73 %"
"Skill Level Marketing","","84,00 %"
"Processes"
"Value","Target","Actual"
"Marketing Efficiency for product Car Financing Loans","","72,95 %"
"Marketing Efficiency for product Savings Account","","69,15 %"
"Error Rate of Mark. Employees","","0,99 %"
"Quality of Marketing Processes","","99,99 %"
"Finance"
"Value","Target","Actual"
"Marketing Expenditures Loans/Total Mark. Exp. Loans Competitors","","49,33 %"
"Marketing Expenditures Global/Total Mark. Exp. Global Competitors","","33,33 %"
"Marketing Expenditures Savings/Total Mark. Exp. Savings Competitors","","26,67 %"
"Effect Mark. Exp. Global/Av. Mark. Exp. Global Competitors","","0,74"
"Effect Mark. Exp. Loans/Av. Mark. Exp. Loans Competitors","","1,00"
"Effect Mark. Exp. Savings/Av. Mark. Exp. Savings Competitors","","0,55"
"Client Management"
"Key Performance Indicators","Type","Status","Target","Actual","Unit","Tolerance"
"Customer Satisfaction","","","0,00","83,32","%",""
"Market Share - New Loans Volume","","","0,00","4,75","%",""
"Market Share - New Sav. Volume","","","0,00","1,96","%",""
"People Development"
"Key Performance Indicators","Type","Status","Target","Actual","Unit","Tolerance"
"Satisf. of Marketing Employees","","","0,00","79,60","%",""
"Utilization Marketing Employees","","","0,00","63,73","%",""
"Skill Level Marketing","","","0,00","84,00","%",""
"Processes"
"Key Performance Indicators","Type","Status","Target","Actual","Unit","Tolerance"
"Marketing Efficiency for product Car Financing Loans","","","0,00","72,95","%",""
"Marketing Efficiency for product Savings Account","","","0,00","69,15","%",""
"Error Rate of Mark. Employees","","","0,00","0,99","%",""
"Quality of Marketing Processes","","","0,00","99,99","%",""
"Finance"
"Key Performance Indicators","Type","Status","Target","Actual","Unit","Tolerance"
"Marketing Expenditures Loans/Total Mark. Exp. Loans Competitors","","","0,00","49,33","%",""
"Marketing Expenditures Global/Total Mark. Exp. Global Competitors","","","0,00","33,33","%",""
"Marketing Expenditures Savings/Total Mark. Exp. Savings Competitors","","","0,00","26,67","%",""
"Effect Mark. Exp. Global/Av. Mark. Exp. Global Competitors","","","0,00","0,74","",""
"Effect Mark. Exp. Loans/Av. Mark. Exp. Loans Competitors","","","0,00","1,00","",""
"Effect Mark. Exp. Savings/Av. Mark. Exp. Savings Competitors","","","0,00","0,55","",""
"Marketing Expenses"
"Value","Actual","+","-","Notes","Forecast"
"Marketing Expenditures Global","4.500.000,00 $/yr","","","Marketing Efficiency entire Bank76,40 %","4.500.000 $/yr"
"Marketing Expenditures Product Loans","2.220.000,00 $/yr","","","Marketing Efficiency for product Car Financing Loans72,95 %","2.220.000 $/yr"
"Marketing Expenditures Product Savings","1.200.000,00 $/yr","","","Marketing Efficiency for product Savings Account69,15 %","1.400.000 $/yr"
"Product Interest Rates"
"Value","Actual","+","-","Notes","Forecast"
"Interest Rate Car Financing Loans","12,00 %/yr","","","Average Interest Rate Loans of Competitors12,00 %/yr","12 %/yr"
"Interest Rate Customer Savings","3,00 %/yr","","","Average Interest Rate Customer Savings of Competitors3,00 %/yr","3,5 %/yr"
