"Client Management"
"Value","Target","Actual"
"S&M Quality Loans","","32,46 %"
"Quality of Origination Loans","","95,75 %"
"Servicing Quality Loans","","79,95 %"
"S&M Quality Savings","","15,80 %"
"Quality of Origination Savings","","95,75 %"
"Servicing Quality Savings","","96,24 %"
"People Development"
"Value","Target","Actual"
"Satisf. of S&M Loans Employees","","79,78 %"
"Satisf. of Orig. Loans Employees","","75,90 %"
"Satisf. of Servicing Loans Employees","","82,10 %"
"Satisf. of S&M Sav. Employees","","77,50 %"
"Satisf. of Orig. Sav. Employees","","77,54 %"
"Satisf. of Servicing Savings Employees","","76,93 %"
"Emp. Utilization S&M Loans","","100,00 %"
"Emp. Utilization Orig. Loans","","60,53 %"
"Emp. Utilization Serv. Loans","","100,00 %"
"Emp. Utilization S&M Savings","","100,00 %"
"Emp. Utilization Orig. Savings","","94,25 %"
"Emp. Utilization Serv. Savings","","87,89 %"
"Skill Level S&M Loans","","75,50 %"
"Skill Level Org. Loans","","78,30 %"
"Skill Level Serv. Loans","","87,80 %"
"Skill Level S&M Savings","","79,40 %"
"Skill Level Orig. Savings","","75,50 %"
"Skill Level Serv. Savings","","89,10 %"
"Processes"
"Value","Target","Actual"
"Processing Time per Contract S&M Loans","","0,0008 yr/TA"
"Processing Time per Contract Origination Loans","","0,00097 yr/TA"
"Processing Time per Contract Servicing Loans","","0,00027 yr/TA"
"Processing Time per Contract S&M Savings","","0,00025 yr/TA"
"Processing Time per Contract Origination Savings","","0,00046 yr/TA"
"Processing Time per Contract Servicing Savings","","0,00026 yr/TA"
"Average Effectiveness Empl. S&M Loans","","59,00 TA/FTE"
"Average Effectiveness Empl. Origination Loans","","67,20 TA/FTE"
"Average Effectiveness Empl. Servicing Loans","","131,77 TA/FTE"
"Average Effectiveness Empl. S&M Savings","","106,01 TA/FTE"
"Average Effectiveness Empl. Origination Sav.","","132,44 TA/FTE"
"Average Effectiveness Empl. Servicing Sav.","","160,49 TA/FTE"
"Error Rate S&M Loans","","3,85 %"
"Error Rate Orig. Loans","","4,25 %"
"Error Rate Servicing Loans","","3,15 %"
"Error Rate S&M Savings","","5,70 %"
"Error Rate Orig. Savings","","5,20 %"
"Error Rate Servicing Savings","","3,76 %"
"Finance"
"Value","Target","Actual"
"Ratio Employees Organizat. vs. total Employees","","4,42"
"Ratio Management vs. total Employees","","5,86"
"Mgmt. Employees Costs/Total Costs","","9,31 %"
"Organiz. Employees Costs/Total Costs","","60,65 %"
"Client Management"
"Key Performance Indicators","Type","Status","Target","Actual","Unit","Tolerance"
"S&M Quality Loans","","","80,00","32,46","%",""
"Quality of Origination Loans","","","95,00","95,75","%",""
"Servicing Quality Loans","","","80,00","79,95","%",""
"S&M Quality Savings","","","80,00","15,80","%",""
"Quality of Origination Savings","","","95,00","95,75","%",""
"Servicing Quality Savings","","","95,00","96,24","%",""
"People Development"
"Key Performance Indicators","Type","Status","Target","Actual","Unit","Tolerance"
"Satisf. of S&M Loans Employees","","","85,00","79,78","%",""
"Satisf. of Orig. Loans Employees","","","85,00","75,90","%",""
"Satisf. of Servicing Loans Employees","","","85,00","82,10","%",""
"Satisf. of S&M Sav. Employees","","","85,00","77,50","%",""
"Satisf. of Orig. Sav. Employees","","","85,00","77,54","%",""
"Satisf. of Servicing Savings Employees","","","85,00","76,93","%",""
"Emp. Utilization S&M Loans","","","90,00","100,00","%",""
"Emp. Utilization Orig. Loans","","","90,00","60,53","%",""
"Emp. Utilization Serv. Loans","","","90,00","100,00","%",""
"Emp. Utilization S&M Savings","","","90,00","100,00","%",""
"Emp. Utilization Orig. Savings","","","90,00","94,25","%",""
"Emp. Utilization Serv. Savings","","","90,00","87,89","%",""
"Skill Level S&M Loans","","","80,00","75,50","%",""
"Skill Level Org. Loans","","","80,00","78,30","%",""
"Skill Level Serv. Loans","","","87,80","87,80","%",""
"Skill Level S&M Savings","","","80,00","79,40","%",""
"Skill Level Orig. Savings","","","80,00","75,50","%",""
"Skill Level Serv. Savings","","","80,00","89,10","%",""
"Processes"
"Key Performance Indicators","Type","Status","Target","Actual","Unit","Tolerance"
"Processing Time per Contract S&M Loans","","","0,00","0,0008","yr/TA",""
"Processing Time per Contract Origination Loans","","","0,00","0,00097","yr/TA",""
"Processing Time per Contract Servicing Loans","","","0,00","0,00027","yr/TA",""
"Processing Time per Contract S&M Savings","","","0,00","0,00025","yr/TA",""
"Processing Time per Contract Origination Savings","","","0,00","0,00046","yr/TA",""
"Processing Time per Contract Servicing Savings","","","0,00","0,00026","yr/TA",""
"Average Effectiveness Empl. S&M Loans","","","0,00","59,00","TA/FTE",""
"Average Effectiveness Empl. Origination Loans","","","0,00","67,20","TA/FTE",""
"Average Effectiveness Empl. Servicing Loans","","","0,00","131,77","TA/FTE",""
"Average Effectiveness Empl. S&M Savings","","","0,00","106,01","TA/FTE",""
"Average Effectiveness Empl. Origination Sav.","","","0,00","132,44","TA/FTE",""
"Average Effectiveness Empl. Servicing Sav.","","","0,00","160,49","TA/FTE",""
"Error Rate S&M Loans","","","0,00","3,85","%",""
"Error Rate Orig. Loans","","","0,00","4,25","%",""
"Error Rate Servicing Loans","","","0,00","3,15","%",""
"Error Rate S&M Savings","","","0,00","5,70","%",""
"Error Rate Orig. Savings","","","0,00","5,20","%",""
"Error Rate Servicing Savings","","","0,00","3,76","%",""
"Finance"
"Key Performance Indicators","Type","Status","Target","Actual","Unit","Tolerance"
"Ratio Employees Organizat. vs. total Employees","","","0,00","4,42","",""
"Ratio Management vs. total Employees","","","0,00","5,86","",""
"Mgmt. Employees Costs/Total Costs","","","0,00","9,31","%",""
"Organiz. Employees Costs/Total Costs","","","0,00","60,65","%",""
"Internal Employees"
"Value","Actual","+","-","Notes","Forecast"
"Employees Management","88,94 FTE","","","Salary Employee per Year120.000,00 $/FTE","88,94 FTE"
"Employees Organization","67,10 FTE","","","Salary Employee per Year77.500,00 $/FTE","67,1 FTE"
"Employees IT Functional Staff","9,44 FTE","","","Salary Employee per Year77.500,00 $/FTE","9,44 FTE"
"Employees Marketing","34,52 FTE","","","Salary Employee per Year77.500,00 $/FTE","34,52 FTE"
"Employees S&M Loans","174,46 FTE","","","Salary Employee per Year50.000,00 $/FTE","174,46 FTE"
"Employees Orig. Loans","202,32 FTE","","","Salary Employee per Year50.000,00 $/FTE","202,32 FTE"
"Employees Serv. Loans","212,23 FTE","","","Salary Employee per Year50.000,00 $/FTE","212,23 FTE"
"Employees S&M Savings","163,35 FTE","","","Salary Employee per Year50.000,00 $/FTE","163,35 FTE"
