"Client Management"
"Value","Target","Actual"
"Customer Satisfaction","","84,92 %"
"Market Share - New Loans Volume","","10,09 %"
"Market Share - New Sav. Volume","","2,47 %"
"People Development"
"Value","Target","Actual"
"Satisf. of Marketing Employees","","78,77 %"
"Utilization Marketing Employees","","69,83 %"
"Skill Level Marketing","","81,00 %"
"Processes"
"Value","Target","Actual"
"Marketing Efficiency for product Car Financing Loans","","69,38 %"
"Marketing Efficiency for product Savings Account","","65,76 %"
"Error Rate of Mark. Employees","","1,00 %"
"Quality of Marketing Processes","","99,99 %"
"Finance"
"Value","Target","Actual"
"Marketing Expenditures Loans/Total Mark. Exp. Loans Competitors","","49,33 %"
"Marketing Expenditures Global/Total Mark. Exp. Global Competitors","","33,33 %"
"Marketing Expenditures Savings/Total Mark. Exp. Savings Competitors","","31,11 %"
"Effect Mark. Exp. Global/Av. Mark. Exp. Global Competitors","","0,70"
"Effect Mark. Exp. Loans/Av. Mark. Exp. Loans Competitors","","0,90"
"Effect Mark. Exp. Savings/Av. Mark. Exp. Savings Competitors","","0,57"
"Client Management"
"Key Performance Indicators","Type","Status","Target","Actual","Unit","Tolerance","Trend"
"Customer Satisfaction","","","0,00","84,92","%","",""
"Market Share - New Loans Volume","","","0,00","10,09","%","",""
"Market Share - New Sav. Volume","","","3,00","2,47","%","",""
"People Development"
"Key Performance Indicators","Type","Status","Target","Actual","Unit","Tolerance","Trend"
"Satisf. of Marketing Employees","","","0,00","78,77","%","",""
"Utilization Marketing Employees","","","70,00","69,83","%","",""
"Skill Level Marketing","","","0,00","81,00","%","",""
"Processes"
"Key Performance Indicators","Type","Status","Target","Actual","Unit","Tolerance","Trend"
"Marketing Efficiency for product Car Financing Loans","","","0,00","69,38","%","",""
"Marketing Efficiency for product Savings Account","","","75,00","65,76","%","",""
"Error Rate of Mark. Employees","","","0,00","1,00","%","",""
"Quality of Marketing Processes","","","0,00","99,99","%","",""
"Finance"
"Key Performance Indicators","Type","Status","Target","Actual","Unit","Tolerance","Trend"
"Marketing Expenditures Loans/Total Mark. Exp. Loans Competitors","","","0,00","49,33","%","",""
"Marketing Expenditures Global/Total Mark. Exp. Global Competitors","","","0,00","33,33","%","",""
"Marketing Expenditures Savings/Total Mark. Exp. Savings Competitors","","","30,00","31,11","%","",""
"Effect Mark. Exp. Global/Av. Mark. Exp. Global Competitors","","","0,00","0,70","","",""
"Effect Mark. Exp. Loans/Av. Mark. Exp. Loans Competitors","","","0,00","0,90","","",""
"Effect Mark. Exp. Savings/Av. Mark. Exp. Savings Competitors","","","0,70","0,57","","",""
"Marketing Expenses"
"Value","Actual","+","-","Notes","Forecast"
"Marketing Expenditures Global","4.500.000,00 $/yr","","","Marketing Efficiency entire Bank74,51 %","4.500.000 $/yr"
"Marketing Expenditures Product Loans","2.220.000,00 $/yr","","","Marketing Efficiency for product Car Financing Loans69,38 %","2.220.000 $/yr"
"Marketing Expenditures Product Savings","1.400.000,00 $/yr","","","Marketing Efficiency for product Savings Account65,76 %","1.400.000 $/yr"
"Product Interest Rates"
"Value","Actual","+","-","Notes","Forecast"
"Interest Rate Car Financing Loans","12,00 %/yr","","","Average Interest Rate Loans of Competitors12,00 %/yr","12 %/yr"
"Interest Rate Customer Savings","3,50 %/yr","","","Average Interest Rate Customer Savings of Competitors3,00 %/yr","3,5 %/yr"
