"Client Management"
"Value","Target","Actual"
"S&M Quality Loans","","71,85 %"
"Quality of Origination Loans","","96,34 %"
"Servicing Quality Loans","","95,81 %"
"S&M Quality Savings","","18,82 %"
"Quality of Origination Savings","","96,34 %"
"Servicing Quality Savings","","93,86 %"
"People Development"
"Value","Target","Actual"
"Satisf. of S&M Loans Employees","","75,48 %"
"Satisf. of Orig. Loans Employees","","79,81 %"
"Satisf. of Servicing Loans Employees","","83,30 %"
"Satisf. of S&M Sav. Employees","","73,64 %"
"Satisf. of Orig. Sav. Employees","","69,26 %"
"Satisf. of Servicing Savings Employees","","65,45 %"
"Emp. Utilization S&M Loans","","100,00 %"
"Emp. Utilization Orig. Loans","","78,14 %"
"Emp. Utilization Serv. Loans","","95,17 %"
"Emp. Utilization S&M Savings","","100,00 %"
"Emp. Utilization Orig. Savings","","53,41 %"
"Emp. Utilization Serv. Savings","","41,39 %"
"Skill Level S&M Loans","","74,92 %"
"Skill Level Org. Loans","","76,40 %"
"Skill Level Serv. Loans","","85,17 %"
"Skill Level S&M Savings","","78,21 %"
"Skill Level Orig. Savings","","73,51 %"
"Skill Level Serv. Savings","","86,25 %"
"Processes"
"Value","Target","Actual"
"Processing Time per Contract S&M Loans","","0,00045 yr/TA"
"Processing Time per Contract Origination Loans","","0,0005 yr/TA"
"Processing Time per Contract Servicing Loans","","0,00019 yr/TA"
"Processing Time per Contract S&M Savings","","0,00024 yr/TA"
"Processing Time per Contract Origination Savings","","0,00039 yr/TA"
"Processing Time per Contract Servicing Savings","","0,00036 yr/TA"
"Average Effectiveness Empl. S&M Loans","","57,54 TA/FTE"
"Average Effectiveness Empl. Origination Loans","","65,53 TA/FTE"
"Average Effectiveness Empl. Servicing Loans","","128,51 TA/FTE"
"Average Effectiveness Empl. S&M Savings","","103,39 TA/FTE"
"Average Effectiveness Empl. Origination Sav.","","129,16 TA/FTE"
"Average Effectiveness Empl. Servicing Sav.","","156,52 TA/FTE"
"Error Rate S&M Loans","","3,43 %"
"Error Rate Orig. Loans","","3,66 %"
"Error Rate Servicing Loans","","4,19 %"
"Error Rate S&M Savings","","3,60 %"
"Error Rate Orig. Savings","","4,13 %"
"Error Rate Servicing Savings","","6,14 %"
"Finance"
"Value","Target","Actual"
"Ratio Employees Organizat. vs. total Employees","","5,11"
"Ratio Management vs. total Employees","","6,69"
"Mgmt. Employees Costs/Total Costs","","10,47 %"
"Organiz. Employees Costs/Total Costs","","59,96 %"
"Client Management"
"Key Performance Indicators","Type","Status","Target","Actual","Unit","Tolerance","Trend"
"S&M Quality Loans","","","95,00","71,85","%","",""
"Quality of Origination Loans","","","95,00","96,34","%","",""
"Servicing Quality Loans","","","95,00","95,81","%","",""
"S&M Quality Savings","","","95,00","18,82","%","",""
"Quality of Origination Savings","","","95,00","96,34","%","",""
"Servicing Quality Savings","","","95,00","93,86","%","",""
"People Development"
"Key Performance Indicators","Type","Status","Target","Actual","Unit","Tolerance","Trend"
"Satisf. of S&M Loans Employees","","","85,00","75,48","%","",""
"Satisf. of Orig. Loans Employees","","","85,00","79,81","%","",""
"Satisf. of Servicing Loans Employees","","","85,00","83,30","%","",""
"Satisf. of S&M Sav. Employees","","","85,00","73,64","%","",""
"Satisf. of Orig. Sav. Employees","","","85,00","69,26","%","",""
"Satisf. of Servicing Savings Employees","","","85,00","65,45","%","",""
"Emp. Utilization S&M Loans","","","85,00","100,00","%","",""
"Emp. Utilization Orig. Loans","","","85,00","78,14","%","",""
"Emp. Utilization Serv. Loans","","","85,00","95,17","%","",""
"Emp. Utilization S&M Savings","","","85,00","100,00","%","",""
"Emp. Utilization Orig. Savings","","","85,00","53,41","%","",""
"Emp. Utilization Serv. Savings","","","85,00","41,39","%","",""
"Skill Level S&M Loans","","","80,00","74,92","%","",""
"Skill Level Org. Loans","","","80,00","76,40","%","",""
"Skill Level Serv. Loans","","","87,80","85,17","%","",""
"Skill Level S&M Savings","","","80,00","78,21","%","",""
"Skill Level Orig. Savings","","","80,00","73,51","%","",""
"Skill Level Serv. Savings","","","80,00","86,25","%","",""
"Processes"
"Key Performance Indicators","Type","Status","Target","Actual","Unit","Tolerance","Trend"
"Processing Time per Contract S&M Loans","","","0,0007","0,00045","yr/TA","",""
"Processing Time per Contract Origination Loans","","","0,0008","0,0005","yr/TA","",""
"Processing Time per Contract Servicing Loans","","","0,0002","0,00019","yr/TA","",""
"Processing Time per Contract S&M Savings","","","0,0002","0,00024","yr/TA","",""
"Processing Time per Contract Origination Savings","","","0,0004","0,00039","yr/TA","",""
"Processing Time per Contract Servicing Savings","","","0,0002","0,00036","yr/TA","",""
"Average Effectiveness Empl. S&M Loans","","","100,00","57,54","TA/FTE","",""
"Average Effectiveness Empl. Origination Loans","","","100,00","65,53","TA/FTE","",""
"Average Effectiveness Empl. Servicing Loans","","","200,00","128,51","TA/FTE","",""
"Average Effectiveness Empl. S&M Savings","","","200,00","103,39","TA/FTE","",""
"Average Effectiveness Empl. Origination Sav.","","","200,00","129,16","TA/FTE","",""
"Average Effectiveness Empl. Servicing Sav.","","","200,00","156,52","TA/FTE","",""
"Error Rate S&M Loans","","","3,00","3,43","%","",""
"Error Rate Orig. Loans","","","3,00","3,66","%","",""
"Error Rate Servicing Loans","","","3,00","4,19","%","",""
"Error Rate S&M Savings","","","3,00","3,60","%","",""
"Error Rate Orig. Savings","","","3,00","4,13","%","",""
"Error Rate Servicing Savings","","","3,00","6,14","%","",""
"Finance"
