"Assets (Million $)"
"","Actual Round","Last Round"
"Current Assets","3.568,70","2.840,31"
"Short-/Medium-Term","81,51","19,40"
"Cash Reserves","0,00","0,00"
"T-Bill Securities","24,50","8,50"
"T-Bond Securities","24,50","8,50"
"Reverse Repurchase Agreements","32,51","2,40"
"Long-Term","3.487,19","2.820,91"
"Bank Loans Assets","100,00","225,00"
"Car Financing Loans","3.387,19","2.595,91"
"Fixed Assets","9,59","9,94"
"Other Assets","9,59","9,94"
"Sum Assets","3.578,29","2.850,25"
"Equity and Liabilities (Million $)"
"","Actual Round","Last Round"
"Liabilities","3.350,79","2.635,07"
"Short Term","1.930,56","1.562,56"
"Central bank Advance","701,77","554,66"
"Repurchase Agreements","1.228,79","1.007,90"
"Medium Term","1.420,23","1.072,52"
"Bank Loans Liabilities","282,00","110,00"
"Customer Savings","1.138,23","962,52"
"Equity","227,50","215,18"
"Shareholderïs Equity","85,00","85,00"
"Retained Earnings","88,74","89,04"
"Revaluation Reserves","53,76","41,13"
"Sum Equity and Liabilities","3.578,29","2.850,25"
