"Car Financing"
"Sales & Marketing"
"Value","Current"
"Requests to be processed LowPriceCars","62.877,9 TA/yr"
"Requests to be processed MidPriceCars","78.597,4 TA/yr"
"Requests to be processed HighPriceCars","15.719,5 TA/yr"
"Requests succeeded LowPriceCars","44.752,6 TA/yr"
"Requests succeeded MidPriceCars","55.940,8 TA/yr"
"Requests succeeded HighPriceCars","11.188,2 TA/yr"
"Error Rate","5,8 %"
"Sales & Marketing Quality","71,2 %"
"Employees in Process Step","206,6 FTE"
"Employee Utilization","100,0 %"
"Employee Satisfaction","69,5 %"
"Employees leaving","3,0 FTE/yr"
"PCs in Department","206,3 PC"
"Office Automation in Dept.","1.046,8 LI"
"Business Apps. used by Dept.","97,8 MLOC"
"Origination"
"Value","Current"
"Contracts to be processed LowPriceCars","44.752,6 TA/yr"
"Contracts to be processed MidPriceCars","55.940,8 TA/yr"
"Contracts to be processed HighPriceCars","11.188,2 TA/yr"
"Contracts succeeded LowPriceCars","41.754,9 TA/yr"
"Contracts succeeded MidPriceCars","52.193,6 TA/yr"
"Contracts succeeded HighPriceCars","10.438,7 TA/yr"
"Error Rate","6,7 %"
"Origination Quality","93,3 %"
"Employees in Process Step","211,6 FTE"
"Employee Utilization","81,6 %"
"Employee Satisfaction","84,6 %"
"Employees leaving","2,5 FTE/yr"
"PCs in Department","219,3 PC"
"Office Automation in Dept.","1.116,6 LI"
"Bus. Apps. used by Dept.","111,0 MLOC"
"Servicing"
"Value","Current"
"Service Transactions to be processed","406.463,3 TA/yr"
"Service Transactions succeeded","327.376,3 TA/yr"
"Error Rate","6,8 %"
"Servicing Quality","80,5 %"
"Empl. in Process Step","272,5 FTE"
"Employee Utilization","100,0 %"
"Employee Satisfaction","79,1 %"
"Employees leaving","3,4 FTE/yr"
"PCs in Department","272,1 PC"
"Office Automation in Dept.","1.370,9 LI"
"Business Apps. used by Dept.","105,2 MLOC"
"Savings Account"
"Sales & Marketing"
"Value","Current"
"Requests to be processed","993.601,1 TA/yr"
"Requests succeeded","330.522,4 TA/yr"
"Error Rate","5,5 %"
"Sales & Marketing Quality","33,3 %"
"Employees in Process Step","336,7 FTE"
"Employee Utilization","100,0 %"
"Employee Satisfaction","74,5 %"
"Employees leaving","4,5 FTE/yr"
"PCs in Department","336,2 PC"
"Office Automation in Dept.","1.693,8 LI"
"Bus. Apps. used by Dept.","100,6 MLOC"
"Origination"
"Value","Current"
"Contracts to be processed","330.522,4 TA/yr"
"Contracts succeeded","308.382,6 TA/yr"
"Error Rate","5,9 %"
"Origination Quality","93,3 %"
"Empl. in Process Step","298,5 FTE"
"Employee Utilization","99,9 %"
"Employee Satisfaction","63,0 %"
"Employees leaving","4,7 FTE/yr"
"PCs in Department","298,2 PC"
"Office Automation in Dept.","1.513,8 LI"
"Bus. Apps. used by Dept.","99,7 MLOC"
"Servicing"
"Value","Current"
"Service Transactions to be processed","170.734,6 TA/yr"
"Service Transactions succeeded","162.806,6 TA/yr"
"Error Rate","4,6 %"
"Servicing Quality","95,4 %"
"Empl. in Process Step","191,4 FTE"
"Employee Utilization","58,4 %"
"Employee Satisfaction","53,5 %"
"Employees leaving","3,6 FTE/yr"
"PCs in Department","219,1 PC"
"Office Automation in Dept.","1.112,6 LI"
"Bus. Apps. used by Dept.","101,0 MLOC"
